fips_n	geoid	countyname	religion	civic	charitable	fraternal	union	bridging	voteage	local	state	federal	politicalacts	linking	ethnic	ethnichpn	education	incomeequal	employ	genderincome	language	commu	nonelder	bonding	socialcap
1023	"0500000US01023"	"Choctaw County, Alabama"	0.41080424	0.02173333	0.14404432	0.133829	0.39012346	0.22010687	0.6159772	0.17612882	0.16346583	0.060542315	0.14223513	0.23166986	0.33305842	0.985314	0.45213848	0.42922372	0.24336794	0.21915805	0.9833279	0.944461	0.9975863	0.6208484	1.0726252
1025	"0500000US01025"	"Clarke County, Alabama"	0.3175123	0.048899993	0.17728531	0.14869888	0.32592592	0.20366448	0.57499653	0.14120784	0.116407305	0.029311772	0.16110305	0.2046053	0.31518787	0.9640689	0.382892	0.27853882	0.2814302	0.062267244	0.98870015	0.8385526	0.9988955	0.56783706	0.9761068
1027	"0500000US01027"	"Clay County, Alabama"	0.3344567	0.02173333	0.14958449	0.15055762	0.44444445	0.22015531	0.5924214	0.15645167	0.0988858	0.18046506	0.13933237	0.23351127	0.60869765	0.9000656	0.42362523	0.5114155	0.40023068	0.047279954	0.9712615	0.74673074	0.9977592	0.62300736	1.076674
1029	"0500000US01029"	"Cleburne County, Alabama"	0.2943476	0.0054333326	0.14542936	0.20817845	0.43209878	0.2170975	0.5887206	0.1529758	0.09505369	0.14106052	0.13207547	0.22197722	0.85775757	0.94308555	0.4002037	0.5045662	0.34602076	0.22609746	0.98073643	0.76331586	0.9979329	0.6688574	1.1079321
1031	"0500000US01031"	"Coffee County, Alabama"	0.1465735	0.032599997	0.25623268	0.24907063	0.3654321	0.20998178	0.5469874	0.16521847	0.0949426	0.39151427	0.25544268	0.29082108	0.51559156	0.78821635	0.60692465	0.44063926	0.4359862	0.17292231	0.93408626	0.8401635	0.99944264	0.6371081	1.137911
1033	"0500000US01033"	"Colbert County, Alabama"	0.15907682	0.06519999	0.28808865	0.27137548	0.3308642	0.22292103	0.6142046	0.18445593	0.08697174	0.1123264	0.22351234	0.2442942	0.5912497	0.92215854	0.5814664	0.47945207	0.45213377	0.2414003	0.97287357	0.9124165	0.9994222	0.6836192	1.1508344
1035	"0500000US01035"	"Conecuh County, Alabama"	0.3148884	0.02173333	0.1731302	0.13197026	0.22962964	0.17427036	0.60730815	0.21910094	0.11148573	0.10395127	0.19013062	0.24639533	0.32424343	0.98748523	0.36659878	0.36757994	0.28835064	0.027153373	0.98971784	0.77640456	0.9975775	0.5694568	0.9901225
1037	"0500000US01037"	"Coosa County, Alabama"	0.28242975	0.0054333326	0.21052632	0.18215613	0.29135802	0.19438072	0.62431663	0.20915227	0.103998154	0.08292583	0.19158201	0.24239498	0.40059757	0.9951236	0.5101833	0.46118724	0.34371397	0.050397515	0.9856616	0.8347851	0.9971975	0.6198719	1.0566477
1039	"0500000US01039"	"Covington County, Alabama"	0.21538126	0.02173333	0.2299169	0.2267658	0.4	0.21875946	0.6085097	0.15362947	0.093523346	0.04489626	0.19158201	0.21842816	0.6535521	0.9474232	0.50509167	0.38812786	0.43367937	0.20007306	0.97674215	0.8427706	0.9991052	0.66072947	1.0979171
1041	"0500000US01041"	"Crenshaw County, Alabama"	0.3298408	0.0054333326	0.17867036	0.19702603	0.29382715	0.20095953	0.5771804	0.21768402	0.12715186	0.09649537	0.16690856	0.23708403	0.44967747	0.9492534	0.63238287	0.4086758	0.4567474	0.1754486	0.9516899	0.77256024	0.99773145	0.6437963	1.0818399
1043	"0500000US01043"	"Cullman County, Alabama"	0.17756705	0.081499994	0.21883656	0.267658	0.37530863	0.22417405	0.57658666	0.15217362	0.08567087	0.070012875	0.17706822	0.21230245	0.89987016	0.8476726	0.6059063	0.456621	0.47058827	0.077400684	0.9561338	0.8671177	0.9996407	0.68677235	1.1232488
1045	"0500000US01045"	"Dale County, Alabama"	0.12937844	0.07606666	0.23961219	0.23977695	0.33333334	0.20363352	0.5566893	0.15729527	0.06966214	0.36641216	0.29753265	0.2895183	0.47862506	0.80137205	0.6476579	0.5045662	0.44521338	0.42707974	0.934995	0.860115	0.99949116	0.6776795	1.1708313
1047	"0500000US01047"	"Dallas County, Alabama"	0.20495357	0.05976666	0.20914127	0.18401487	0.22469136	0.17651355	0.5454836	0.20466803	0.14115657	0.1200761	0.22351234	0.24697933	0.4268707	0.9718793	0.5020367	0.29680365	0.28950405	2.0980835E-5	0.9858157	0.84955305	0.9993978	0.5913202	1.0148131
1049	"0500000US01049"	"DeKalb County, Alabama"	0.16020931	0.048899993	0.15789473	0.21003717	0.37530863	0.19046997	0.47002828	0.1508557	0.08576617	0.06766407	0.14223513	0.18330987	0.81192136	0.57026815	0.42464358	0.43607306	0.44867358	0.2482776	0.89135337	0.86639994	0.9996192	0.6330255	1.0068054
1051	"0500000US01051"	"Elmore County, Alabama"	0.100562274	0.07606666	0.28393352	0.29553902	0.3506173	0.22134376	0.5793205	0.16352749	0.16951741	0.2210203	0.27576196	0.28182954	0.49971002	0.901338	0.51221997	0.5479452	0.45905423	0.080417156	0.9618268	0.90666425	0.9997041	0.65209776	1.155271
1053	"0500000US01053"	"Escambia County, Alabama"	0.20798197	0.07606666	0.23130193	0.21189591	0.32592592	0.21063448	0.5969077	0.23886412	0.13833724	0.0966391	0.19303338	0.2527563	0.3449723	0.9254362	0.44399184	0.41324198	0.3229527	2.3925304E-4	0.9835584	0.74816054	0.99928004	0.57575923	1.03915
1055	"0500000US01055"	"Etowah County, Alabama"	0.15017657	0.081499994	0.31440443	0.2936803	0.36790124	0.2415325	0.5862101	0.20284905	0.094844066	0.09405089	0.28156748	0.2519043	0.6019641	0.88063884	0.5651731	0.43835616	0.39331028	0.065868974	0.96873766	0.8775314	0.99971473	0.64347726	1.136914
1057	"0500000US01057"	"Fayette County, Alabama"	0.3712573	0.032599997	0.58864266	0.39591077	0.5308642	0.383855	0.6238768	0.16490287	0.055620953	0.055145323	0.4862119	0.27715158	0.6881465	0.958319	0.697556	0.51826483	0.4175317	0.012947738	0.985156	0.90850073	0.99811333	0.6871706	1.3481772
1059	"0500000US01059"	"Franklin County, Alabama"	0.20660181	0.032599997	0.23545706	0.26208177	0.45185184	0.2377185	0.4877146	0.14078714	0.07927148	0.07439892	0.17851959	0.19213834	0.69437224	0.5424982	0.46639514	0.43607306	0.47520185	0.091052115	0.87906903	0.89603066	0.9990934	0.6088651	1.0387219
1061	"0500000US01061"	"Geneva County, Alabama"	0.25008032	0.0054333326	0.40027702	0.25464684	0.44444445	0.2709764	0.60496205	0.21589164	0.07903442	0.102657504	0.26560232	0.2536296	0.70031524	0.87599874	0.45112014	0.43150687	0.4544406	0.0101751685	0.9682594	0.84085995	0.9987734	0.6368277	1.1614337
1063	"0500000US01063"	"Greene County, Alabama"	0.19764085	0.02173333	0.25761774	0.28066915	0.38518518	0.22856925	0.5824342	0.15475458	0.18314256	0.034572404	0.22060958	0.23510265	0.578867	0.95851606	0.5875764	0.36757994	0.1407151	0.091564536	0.98645544	0.772525	0.9966893	0.6089432	1.0726151
1065	"0500000US01065"	"Hale County, Alabama"	0.2921332	0.0054333326	0.3227147	0.20260224	0.42469135	0.24951497	0.5628702	0.14975442	0.19351621	0.076887645	0.25108853	0.2468234	0.35629976	0.9859478	0.43686354	0.37671232	0.32987314	0.07920724	0.98123866	0.85521364	0.998401	0.599973	1.0963113
1067	"0500000US01067"	"Henry County, Alabama"	0.15267116	0.032599997	0.37119114	0.27695167	0.36790124	0.24026304	0.5974965	0.16449988	0.090832636	0.05868004	0.35268506	0.25283882	0.40834695	0.9236074	0.52851325	0.4543379	0.4048443	0.06843287	0.96419126	0.85480136	0.99798995	0.62278503	1.1158869
1069	"0500000US01069"	"Houston County, Alabama"	0.12192956	0.081499994	0.367036	0.2881041	0.36049384	0.2438127	0.5669344	0.15615766	0.059217725	0.092783876	0.3555878	0.2461363	0.42519718	0.89743125	0.5845214	0.4086758	0.5132641	0.07342172	0.9574589	0.8297209	0.99973756	0.63215876	1.1221077
1071	"0500000US01071"	"Jackson County, Alabama"	0.1702738	0.048899993	0.2036011	0.1802974	0.33333334	0.18728113	0.60638344	0.1581567	0.10545242	0.11344006	0.17997098	0.23268072	0.8033287	0.9112512	0.52240324	0.47260273	0.449827	0.08802199	0.96997947	0.81345075	0.9994261	0.6700324	1.0899942
1073	"0500000US01073"	"Jefferson County, Alabama"	0.10361168	0.10866666	0.23961219	0.26208177	0.30123457	0.20304137	0.560708	0.16314319	0.09726993	0.094514094	0.26995647	0.23711833	0.30663228	0.86725104	0.6425662	0.34931505	0.5028835	0.06596643	0.94083685	0.9338834	0.9999623	0.62325525	1.0634149
1075	"0500000US01075"	"Lamar County, Alabama"	0.4248567	0.03803333	0.14404432	0.15613383	0.4419753	0.2410087	0.6163734	0.17269519	0.08431822	0.046416424	0.18142235	0.22024512	0.7000526	0.9533483	0.38187373	0.34246576	0.37946942	0.09457123	0.99000144	0.80536175	0.9977918	0.62721515	1.088469
1077	"0500000US01077"	"Lauderdale County, Alabama"	0.13327555	0.09236666	0.32963988	0.32899627	0.36790124	0.25043592	0.61944485	0.16978411	0.09522588	0.14523444	0.33236575	0.27241102	0.701525	0.9200622	0.65580446	0.42009133	0.44405997	0.025827587	0.97037315	0.9021746	0.9996646	0.67106473	1.1939117
1079	"0500000US01079"	"Lawrence County, Alabama"	0.14335646	0.048899993	0.15096954	0.232342	0.32839507	0.18079261	0.598211	0.14463799	0.10032474	0.06087906	0.1567489	0.21216033	0.5102512	0.93135035	0.54276985	0.56164384	0.44867358	0.30785668	0.9785972	0.90935314	0.99920094	0.6877441	1.0806971
1081	"0500000US01081"	"Lee County, Alabama"	0.061499845	0.09779999	0.3227147	0.21375465	0.25679013	0.19051187	0.5715926	0.16206697	0.21919136	0.086397	0.19013062	0.24587572	0.45065945	0.883274	0.74032587	0.37899542	0.49942333	0.051053822	0.93156046	0.90587366	0.9998692	0.6490039	1.0853915
1083	"0500000US01083"	"Limestone County, Alabama"	0.11730705	0.07606666	0.2631579	0.29553902	0.34814814	0.22004375	0.5591837	0.16449533	0.06819044	0.24347062	0.16255443	0.2395789	0.6111436	0.8106272	0.54887986	0.47945207	0.48904267	0.20139182	0.94112766	0.90297943	0.99968857	0.6649259	1.1245486
1085	"0500000US01085"	"Lowndes County, Alabama"	0.29559582	0.02173333	0.16620499	0.14684016	0.34814814	0.19570449	0.5790804	0.16706587	0.13755354	0.10626645	0.47460088	0.29291344	0.47403353	0.964183	0.51934826	0.31735158	0.29296425	0.15769285	0.99211454	0.86942893	0.9977613	0.62054205	1.10916
1087	"0500000US01087"	"Macon County, Alabama"	0.19967571	0.02173333	0.24238227	0.22118959	0.17283951	0.17156409	0.6510326	0.21632089	0.1557726	0.34197587	0.18867925	0.31075624	0.6243311	0.97454077	0.7240326	0.36986303	0.29988468	0.0044151545	0.9705127	0.85517275	0.99875176	0.64683384	1.1291542
1089	"0500000US01089"	"Madison County, Alabama"	0.06462972	0.09779999	0.44044322	0.30483273	0.41234568	0.26401025	0.55631053	0.13726807	0.081356935	0.33331257	0.1436865	0.25038692	0.40307766	0.8451382	0.6425662	0.43607306	0.544406	0.05535078	0.9299857	0.887939	0.9999276	0.6382738	1.152671
1091	"0500000US01091"	"Marengo County, Alabama"	0.27790806	0.048899993	0.21191135	0.18773234	0.32098764	0.20948787	0.5778238	0.21527109	0.16640085	0.081073105	0.3904209	0.28619796	0.3330667	0.986522	0.5509165	0.36757994	0.33448672	0.030967414	0.99013984	0.79849494	0.998542	0.59896845	1.0946543
1093	"0500000US01093"	"Marion County, Alabama"	0.23768865	0.032599997	0.15235457	0.1747212	0.4271605	0.20490499	0.62504387	0.14517798	0.111093454	0.038335476	0.33671987	0.25127414	0.8406689	0.9252	0.62830955	0.4474886	0.42791235	0.15224415	0.9709214	0.89493	0.9989117	0.69850963	1.1546887
1095	"0500000US01095"	"Marshall County, Alabama"	0.14065051	0.05976666	0.22853185	0.23420075	0.3160494	0.19583984	0.47839248	0.16866189	0.061817717	0.12496297	0.27721336	0.22220969	0.84571326	0.6119883	0.51934826	0.41780823	0.5028835	0.13808155	0.89374495	0.8586058	0.9997034	0.64309746	1.061147
1097	"0500000US01097"	"Mobile County, Alabama"	0.07642607	0.09779999	0.31855956	0.28066915	0.3234568	0.21938232	0.54615545	0.15887699	0.100814015	0.07330145	0.38026124	0.25188184	0.3363433	0.91520566	0.59979635	0.39269406	0.4579008	0.124513686	0.9496695	0.86582154	0.9999404	0.6268761	1.0981402
1099	"0500000US01099"	"Monroe County, Alabama"	0.2506268	0.02173333	0.18282549	0.1747212	0.29135802	0.18425296	0.55923617	0.22121046	0.08911346	0.093857646	0.15384616	0.22345278	0.31046677	0.9579298	0.5315682	0.36986303	0.3690888	0.08296186	0.9755714	0.7744589	0.99876875	0.5967419	1.0044477
1101	"0500000US01101"	"Montgomery County, Alabama"	0.08327894	0.10866666	0.3864266	0.26951674	0.34814814	0.23920742	0.54849124	0.15319216	0.21163328	0.24446142	0.18432511	0.26842064	0.2995637	0.87806034	0.60488796	0.39269406	0.5098039	0.033263445	0.943832	0.93045074	0.999901	0.62138414	1.1290122
1103	"0500000US01103"	"Morgan County, Alabama"	0.123713806	0.10866666	0.29639888	0.30855018	0.38765433	0.24499677	0.5360566	0.12916516	0.07417143	0.12287214	0.29898402	0.23224987	0.6017556	0.7468475	0.5845214	0.47031963	0.4936563	0.13226873	0.9297525	0.91736597	0.9997744	0.652918	1.1301646
1105	"0500000US01105"	"Perry County, Alabama"	0.27565175	0.03803333	0.29224378	0.32713756	0.3654321	0.2596997	0.57961655	0.20349982	0.20030075	0.07314294	0.18577649	0.24846731	0.42748314	0.9541142	0.60692465	0.3995434	0.21683967	0.06964487	0.99110526	0.7965631	0.9971962	0.6066016	1.1147686
1107	"0500000US01107"	"Pickens County, Alabama"	0.3352232	0.0054333326	0.30747923	0.2788104	0.28641975	0.24267319	0.59477377	0.1908469	0.08777256	0.13700463	0.19013062	0.2401057	0.34548336	0.95532286	0.5682281	0.43835616	0.30334488	0.084677875	0.984837	0.7726232	0.9984891	0.60570693	1.0884858
1109	"0500000US01109"	"Pike County, Alabama"	0.16887896	0.02173333	0.21883656	0.2992565	0.34320986	0.21038304	0.5972985	0.18000752	0.24591671	0.07808587	0.29172716	0.27860716	0.31759733	0.9142016	0.67413443	0.29908675	0.449827	0.046766937	0.94091094	0.85942996	0.9992511	0.6112451	1.1002353
1111	"0500000US01111"	"Randolph County, Alabama"	0.31040648	0.03803333	0.17728531	0.12639405	0.18518518	0.16746087	0.5812462	0.24516173	0.106440075	0.05572017	0.24528302	0.24677023	0.5267685	0.9037368	0.51221997	0.3561644	0.38638982	0.02160263	0.9698761	0.8341367	0.9986812	0.6121751	1.0264062
1113	"0500000US01113"	"Russell County, Alabama"	0.15463714	0.06519999	0.24930748	0.22118959	0.35555556	0.20917796	0.5610334	0.16511779	0.0929512	0.18664418	0.13933237	0.2290158	0.30281478	0.8702512	0.5641548	0.4931507	0.3990773	0.108418524	0.9616266	0.89558035	0.99951017	0.6216205	1.0598142
1115	"0500000US01115"	"St. Clair County, Alabama"	0.10529734	0.05976666	0.34764543	0.38289964	0.44938272	0.26899835	0.58169913	0.11835593	0.08297017	0.09183678	0.2670537	0.22838314	0.7445136	0.9228934	0.57230145	0.5251142	0.4936563	0.26710385	0.97079974	0.88908154	0.99969476	0.7094621	1.2068436
1117	"0500000US01117"	"Shelby County, Alabama"	0.056429077	0.10323332	0.3559557	0.3513011	0.43703705	0.26079124	0.5155698	0.1299671	0.076925494	0.060720623	0.2946299	0.21556258	0.63881445	0.8031927	0.68329936	0.48173517	0.6320646	0.050328135	0.92144054	0.9416392	0.9998923	0.6836007	1.1599545
1119	"0500000US01119"	"Sumter County, Alabama"	0.24793303	0.032599997	0.28116342	0.22304833	0.28641975	0.2142329	0.60931987	0.2007202	0.4017974	0.12988557	0.28156748	0.3246581	0.4747609	0.9710865	0.59979635	0.30365294	0.30795845	0.006545186	0.9943254	0.8704576	0.9980969	0.6140756	1.1529666
1121	"0500000US01121"	"Talladega County, Alabama"	0.15668692	0.08693332	0.31163436	0.25092936	0.28641975	0.21852075	0.59054047	0.14549246	0.11945077	0.14164369	0.2946299	0.25835145	0.38781166	0.9253314	0.58350307	0.46803653	0.37716264	0.17869371	0.97410256	0.864032	0.9996761	0.63981664	1.1166888
1123	"0500000US01123"	"Tallapoosa County, Alabama"	0.22096048	0.06519999	0.40858725	0.32899627	0.30123457	0.26499572	0.6038261	0.17960092	0.09916982	0.07002443	0.30478954	0.25148216	0.44649965	0.9164002	0.47454178	0.33789957	0.43829295	0.046047926	0.9715211	0.77771425	0.99921954	0.6009041	1.117382
1125	"0500000US01125"	"Tuscaloosa County, Alabama"	0.08727846	0.09779999	0.24099723	0.3457249	0.4148148	0.23732308	0.6016035	0.12413125	0.20522314	0.08067826	0.16835994	0.23599923	0.3975352	0.89232457	0.6771894	0.3584475	0.5132641	0.03920394	0.9387784	0.78083795	0.9998896	0.6219412	1.0952635
1127	"0500000US01127"	"Walker County, Alabama"	0.20810737	0.06519999	0.39058173	0.26951674	0.3160494	0.24989104	0.6076273	0.17814022	0.074065335	0.054230597	0.41364297	0.2655413	0.8011828	0.9281565	0.6150713	0.42922372	0.34486735	0.14212066	0.9852052	0.8917489	0.99953675	0.68190145	1.1973338
1129	"0500000US01129"	"Washington County, Alabama"	0.33834505	0.032599997	0.17728531	0.20446096	0.47160494	0.24485925	0.5658408	0.1314404	0.10947889	0.10418808	0.16255443	0.21470052	0.3400756	0.9701509	0.5234216	0.44520545	0.3690888	0.02212292	0.9902718	0.8110646	0.99834037	0.6077491	1.0673089
1131	"0500000US01131"	"Wilcox County, Alabama"	0.42412323	0.032599997	0.19806094	0.22490707	0.4074074	0.25741974	0.5382728	0.19207457	0.109004736	0.059834834	0.1712627	0.21408993	0.48052275	0.98904115	0.5641548	0.32876712	0.0034602087	3.452301E-4	0.99250615	0.74178964	0.997825	0.56649023	1.0379999
1133	"0500000US01133"	"Winston County, Alabama"	0.19525316	0.02173333	0.28116342	0.30111524	0.36296296	0.23244563	0.61350626	0.15207404	0.08171774	0.043218315	0.29608127	0.23731953	0.9185957	0.90237284	0.5437882	0.44063926	0.40138412	0.12219608	0.9790318	0.85222185	0.9986258	0.6843173	1.1540824
2013	"0500000US02013"	"Aleutians East Borough, Alaska"	0.1572168	0.02173333	0.4196676	0.18401487	0.5407407	0.26467466	9.229058E-9	0.06446617	0.0051347883	0.0076769376	0.3962264	0.094700865	0.117243946	0.47681868	0.48472506	0.56164384	0.9434833	0.16542482	0.15958662	0.9790166	0.9976728	0.5428462	0.90222174
2016	"0500000US02016"	"Aleutians West Census Area, Alaska"	0.12855138	0.048899993	0.5193906	0.13011153	0.5728395	0.2799586	0.4091351	0.06348262	0.013217523	0.021831533	0.23802613	0.14913858	0.0	0.3888536	0.37372708	0.6027397	0.97347176	0.024350882	0.33220094	0.8118141	0.99833906	0.50061077	0.92970794
2020	"0500000US02020"	"Anchorage Municipality, Alaska"	0.0518708	0.10866666	0.47229916	0.22304833	0.46666667	0.26451033	0.5044947	0.12621705	0.14472736	0.3386664	0.47605225	0.31803155	0.31983858	0.72653615	0.73625255	0.5228311	0.60553634	0.027430654	0.82984227	0.9461575	0.9999451	0.63493	1.2174718
2050	"0500000US02050"	"Bethel Census Area, Alaska"	0.20774838	0.05433333	0.30747923	0.13754646	0.2345679	0.18833506	0.37992424	0.530036	0.4167781	0.11126513	0.3018868	0.34797806	0.5673262	0.94680125	0.3268839	0.4543379	0.3287197	0.039346337	0.2847725	0.8537667	0.9993014	0.5334729	1.0697861
2060	"0500000US02060"	"Bristol Bay Borough, Alaska"	0.41295308	0.02173333	0.79501384	0.3141264	0.7234568	0.4534567	0.5718811	0.4209626	0.18764302	0.31931612	0.6560232	0.43116522	0.17195255	0.88528526	0.7678208	0.6894977	0.5017301	0.50477993	0.9620202	0.87701684	0.98044086	0.7045049	1.5891268
2068	"0500000US02068"	"Denali Borough, Alaska"	0.2923534	0.03803333	0.48199445	0.43122676	0.5308642	0.35489443	0.5701698	0.13695751	0.028436018	0.8943733	0.49201742	0.42439082	0.70401603	0.96877897	0.6171079	0.6780822	0.72318345	0.0045987964	0.9562706	0.71856284	0.9910326	0.70684814	1.4861333
2070	"0500000US02070"	"Dillingham Census Area, Alaska"	0.3495752	0.03803333	0.5110803	0.16914499	0.41975307	0.2975174	0.43400985	0.39341933	0.40985325	0.22358342	0.40928882	0.37403095	0.35985595	0.91788876	0.52647656	0.53881276	0.4117647	0.0351848	0.634069	0.9084809	0.9970753	0.59217876	1.2637271
2090	"0500000US02090"	"Fairbanks North Star Borough, Alaska"	0.062434994	0.09779999	0.66759	0.23048328	0.6345679	0.33857524	0.5272043	0.15730223	0.23299697	0.38968647	0.5558781	0.3726136	0.49422783	0.78503406	0.7881874	0.5502283	0.55824685	0.023646116	0.88615555	0.96728766	0.9998537	0.67254084	1.3837297
2100	"0500000US02100"	"Haines Borough, Alaska"	0.43958923	0.05433333	0.17036012	0.1394052	0.25925925	0.21258943	0.6184722	0.29343948	0.30476192	0.0	0.16545719	0.27642617	0.5831258	0.8989509	0.42362523	0.53652966	0.55824685	0.30716568	0.9846214	0.96611357	0.97591025	0.69269884	1.1817144
2105	"0500000US02105"	"Hoonah-Angoon Census Area, Alaska"	0.4835855	0.0	0.29639888	0.232342	0.39012346	0.28048998	0.6293404	0.4671286	0.1430096	0.5531437	0.22060958	0.40264636	0.19389635	0.8019469	0.64154786	0.53196347	0.45213377	0.085412264	0.8501802	0.8353828	0.9865845	0.597672	1.2808083
2110	"0500000US02110"	"Juneau City and Borough, Alaska"	0.080287166	0.10866666	0.32686982	0.31226766	0.3234568	0.23030962	0.57214487	0.23052438	0.45663533	0.24695292	0.25544268	0.35234004	0.3694803	0.79862106	0.7749491	0.586758	0.6747405	0.044638395	0.88597155	0.97223216	0.99940383	0.6785328	1.2611824
2122	"0500000US02122"	"Kenai Peninsula Borough, Alaska"	0.1331437	0.09236666	0.44044322	0.27137548	0.3728395	0.2620337	0.57785314	0.22509229	0.12904523	0.09664701	0.3280116	0.27132985	0.64926195	0.87994313	0.7311609	0.51369864	0.5121107	0.04204631	0.8960402	0.90039825	0.9995941	0.6804727	1.2138362
2130	"0500000US02130"	"Ketchikan Gateway Borough, Alaska"	0.13903767	0.07606666	0.33518004	0.40892193	0.42962962	0.27776718	0.55564743	0.26454446	0.26433402	0.12015765	0.24818578	0.29057387	0.35167617	0.83403933	0.57331973	0.5730593	0.6101499	0.039132357	0.8840488	0.95869493	0.9985194	0.64696	1.215301
2150	"0500000US02150"	"Kodiak Island Borough, Alaska"	0.15386543	0.06519999	0.3628809	0.302974	0.36790124	0.2505643	0.3957433	0.21167389	0.1206137	0.20288745	0.2801161	0.24220689	0.20111561	0.716444	0.7759674	0.5913242	0.6378316	0.11341143	0.7522246	0.93011093	0.9988729	0.6352559	1.1280271
2164	"0500000US02164"	"Lake and Peninsula Borough, Alaska"	0.4212898	0.02173333	0.33102494	0.16728625	0.5728395	0.30283478	0.47883013	0.9938897	0.10861423	0.3061095	0.4034833	0.45818537	0.3520695	0.9442197	0.66496944	0.4954338	0.47058827	8.457899E-5	0.84720254	0.83488375	0.9913353	0.6223096	1.3833297
2170	"0500000US02170"	"Matanuska-Susitna Borough, Alaska"	0.065599576	0.09779999	0.42243767	0.32713756	0.4074074	0.26407644	0.49509013	0.19062352	0.13005835	0.18310992	0.44702467	0.28918132	0.6602746	0.856483	0.6568228	0.5890411	0.51557094	0.015533745	0.9411385	0.9484796	0.9998098	0.68701714	1.2402749
2180	"0500000US02180"	"Nome Census Area, Alaska"	0.24123366	0.06519999	0.35180056	0.22490707	0.37530863	0.25168997	0.41932824	0.4067025	0.2886539	0.3372733	0.54571843	0.39953527	0.4468965	0.9554196	0.42057025	0.4931507	0.35755476	0.29485554	0.70958066	0.8283656	0.998517	0.6116567	1.262882
