FIPST,STABR,LEAID,LEA_NAME,MSTREET_1,MSTREET_2,MSTREET_3,MCITY,MSTATE,MZIP,MZIP4,LSTREET_1,LSTREET_2,LSTREET_3,LCITY,LSTATE,LZIP,LZIP4,PHONE,LEA_TYPE_TEXT,All Students - American Indian/Alaska Native,All Students - Asian,All Students - Black,All Students - Hispanic,All Students - Two or More Races,All Students - Hawaiian Native / Pacific Islander,All Students - White,All Students,Grant Amount
01,AL,0100016,Bryce Adolescent School,200 University,,,Tuscaloosa,AL,35401,,200 University,,,Tuscaloosa,AL,35401,,(205)759-0593,State agency,,,,,,,,,
01,AL,0100018,Alabama School of Fine Arts,1800 8th Ave N,,,Birmingham,AL,35203,,1800 Rev Abraham Woods Jr Blvd,,,Birmingham,AL,35203,,(205)252-9241,Regular public school district that is not a component of a supervisory union,,,,,,,,,
01,AL,0100019,UCP Of Greater Birmingham,2430 11th Avenue North,,,Birmingham,AL,35234,,2430 11th Avenue North,,,Birmingham,AL,35234,,(205)251-0165,State agency,,,,,,,,,
01,AL,0100020,Boyd School,20856 Eastern Valley Rd.,,,Green Pond,AL,35074,,20856 Eastern Valley Rd.,,,Green Pond,AL,35074,,(205)938-7663,State agency,,,,,,,,,
01,AL,0100021,Brewers Porch Childrens Center,P O Box 870156,,,Tuscaloosa,AL,35487,,2501 Woodland Rd.,,,Tuscaloosa,AL,35487,,(205)348-9342,State agency,,,,,,,,,
01,AL,0100022,Three Springs Courtland Sch,P O Box 370,,,Courtland,AL,35618,,349 Madison St.,,,Courtland,AL,35618,,(256)637-2199,State agency,,,,,,,,,
01,AL,0100023,Three Springs Madison Sch,1329 Browns Ferry Road,,,Madison,AL,35758,,1329 Browns Ferry Road,,,Madison,AL,35758,,(256)895-0710,State agency,,,,,,,,,
01,AL,0100024,Three Springs New Beginnings,Owens Crossroads,,,Madison,AL,35763,,Owens Crossroads,,,Madison,AL,35763,,(256)725-7170,State agency,,,,,,,,,
01,AL,0100026,Three Springs New Tuskegee,4280 U S Highway 29 South,,,Tuskegee,AL,36083,,4280 U S Highway 29 South,,,Tuskegee,AL,36083,,(334)727-2216,State agency,,,,,,,,,
01,AL,0100028,Three Springs New Tuskegee,P O Box 77,,,Green Pond,AL,35074,,65 Enterprise Loop,,,Green Pond,AL,35074,,(205)938-7855,State agency,,,,,,,,,
01,AL,0100029,Three Springs New Direction,318 Hamer Road,,,Owens Cross Roads,AL,35806,,318 Hamer Road,,,Owens Cross Roads,AL,35806,,(256)830-9913,State agency,,,,,,,,,
01,AL,0100030,Alexander City,375 Lee Street,,,Alexander City,AL,35010,,375 Lee Street,,,Alexander City,AL,35010,,(256)234-8698,Regular public school district that is not a component of a supervisory union,,28,1222,204,65,5,1531,3055,
01,AL,0100032,The Bridge,2280 Hwy 35 South,,,Pelham,AL,35214,,2280 Hwy 35 South,,,Pelham,AL,35214,,(205)664-3460,State agency,,,,,,,,,
01,AL,0100033,Glenwood Mental Health Service,150 Glenwood Lane,,,Birmingham,AL,35242,,150 Glenwood Lane,,,Birmingham,AL,35242,,(205)969-2880,State agency,,,,,,,,,
01,AL,0100035,Learning Tree Inc,P O Box 1306,,,Semmes,AL,36575,,4979 Lott Rd.,,,Semmes,AL,36575,,(334)649-4420,State agency,,,,,,,,,
01,AL,0100036,Lee Co Youth Development Ctr,1011 Spring Drive,,,Opelika,AL,36801,,1011 Spring Drive,,,Opelika,AL,36801,,(334)745-6771,State agency,,,,,,,,,
01,AL,0100037,Bay Point Center,5800 Southland Drive,,,Mobile,AL,36693,,5800 Southland Drive,,,Mobile,AL,36693,,(334)450-2223,State agency,,,,,,,,,
01,AL,0100038,Pathway Inc,P O Box 1540,,,Enterprise,AL,36331,,109 Private Rd.,,,Enterprise,AL,36331,,(334)894-6322,State agency,,,,,,,,,
01,AL,0100039,Presbyterian Home For Children,1221 Alton Drive,,,Birmingham,AL,35210,,1221 Alton Drive,,,Birmingham,AL,35210,,(256)362-0151,State agency,,,,,,,,,
01,AL,0100040,Brantwood Children's Home,1309 Upper Wetumpka Rd,,,Montgomery,AL,36107,,1309 Upper Wetumpka Rd,,,Montgomery,AL,36107,,(334)834-5512,State agency,,,,,,,,,
01,AL,0100041,Developing Alabama Youth Prog,P O Box 1811,,,Alabaster,AL,35007,,632 11th Ave SW,,,Alabaster,AL,35007,,(205)664-1600,State agency,,,,,,,,,
01,AL,0100042,Laurel Oaks Behavioral Health,700 E Cottonwood Rd,,,Dothan,AL,36301,,700 E Cottonwood Rd,,,Dothan,AL,36301,,(334)794-7373,State agency,,,,,,,,,
01,AL,0100043,Mountainview Hospital,3001 Scenic Hwy,,,Gadsden,AL,35902,,3001 Scenic Hwy,,,Gadsden,AL,35902,,(334)242-9700,State agency,,,,,,,,,
01,AL,0100044,The Rushton School,5201 Airport Highway,,,Birmingham,AL,35212,,5201 Airport Highway,,,Birmingham,AL,35212,,(205)510-2600,State agency,,,,,,,,,
01,AL,0100045,Wilmer Hall,3811 Old Shell Road,,,Mobile,AL,36608,,3811 Old Shell Road,,,Mobile,AL,36608,,(334)342-4931,State agency,,,,,,,,,
01,AL,0100046,Three Springs Paint Rock Valley,PO Box 20,,,Trenton,AL,35774,,3890 Country Road,,,Trenton,AL,35774,,(334)242-9700,State agency,,,,,,,,,
01,AL,0100060,Andalusia City,122 6th Ave,,,Andalusia,AL,36420,,1201 C. C. Baker Avenue,,,Andalusia,AL,36421,,(334)222-3186,Regular public school district that is not a component of a supervisory union,3,29,533,39,43,,1097,1744,
01,AL,0100090,Anniston City,P O Box 1500,,,Anniston,AL,36202,,4804 McClellan Boulevard,,,Anniston,AL,36206,,(256)231-5000,Regular public school district that is not a component of a supervisory union,,4,1867,75,27,,96,2069,
01,AL,0100100,Arab City,750 Arabian Dr NE,,,Arab,AL,35016,,750 Arabian Dr NE,,,Arab,AL,35016,,(256)586-6011,Regular public school district that is not a component of a supervisory union,9,30,4,67,29,5,2468,2612,
01,AL,0100120,Athens City,313 E Washington St,,,Athens,AL,35611,,455 US Highway 31 North,,,Athens,AL,35611,,(256)233-6600,Regular public school district that is not a component of a supervisory union,33,55,1131,663,237,15,2967,5101,
01,AL,0100173,Compass Academy,101 Perryman Street,,,Evergreen,AL,36401,,101 Perryman Street,,,Evergreen,AL,36401,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100174,Etowah Academy,715 Raley Street,,,East Gadsden,AL,35903,,715 Raley Street,,,East Gadsden,AL,35903,,(256)494-9356,State agency,,,,,,,,,
01,AL,0100175,Pointe Academy,414 Stanton Road,,,Mobile,AL,36617,,414 Stanton Road,,,Mobile,AL,36617,,(334)470-1798,State agency,,,,,,,,,
01,AL,0100176,Alabama Correctional Facilities,Route 1 Box 33,,,Wetumpka,AL,36092,,Route 1 Box 33,,,Wetumpka,AL,36092,,(334)365-4054,State agency,,,,,,,,,
01,AL,0100178,Higdon Hill School,6869 5th Ave S,,,Birmingham,AL,35212,,6869 5th Ave S,,,Birmingham,AL,35212,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100179,The Bridge II,3232 Lay Springs Road,,,Gadsden,AL,35901,,3232 Lay Springs Road,,,Gadsden,AL,35901,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100180,Attalla City,101 Case Ave,,,Attalla,AL,35954,,101 Case Ave,,,Attalla,AL,35954,,(256)538-8051,Regular public school district that is not a component of a supervisory union,4,6,248,126,76,2,1149,1611,
01,AL,0100181,Compass School,100 Martin Luther King Avenue,,,Atmore,AL,36502,,100 Martin Luther King Avenue,,,Atmore,AL,36502,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100183,Alabama Clinical School,1221 Alton Drive,,,Birmingham,AL,35210,,1221 Alton Drive,,,Birmingham,AL,35210,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100184,Excel Institute,1147 Walnut St,,,Gadsden,AL,35901,,1147 Walnut St,,,Gadsden,AL,35901,,(256)546-6324,State agency,,,,,,,,,
01,AL,0100185,Saraland City,943 Highway 43 South,,,Saraland,AL,36571,,943 Highway 43 South,,,Saraland,AL,36571,,(251)375-5420,Regular public school district that is not a component of a supervisory union,47,46,471,45,53,3,2389,3054,
01,AL,0100186,Father Purcell Center,2048 West Fairview Ave,,,Montgomery,AL,36108,,2048 West Fairview Ave,,,Montgomery,AL,36108,,(334)834-5590,State agency,,,,,,,,,
01,AL,0100187,Father Walters Ctr,2815 Forbes Dr,,,Montgomery,AL,36110,,2815 Forbes Dr,,,Montgomery,AL,36110,,(334)269-1770,State agency,,,,,,,,,
01,AL,0100188,Chickasaw City,P O Box 11493,,,Chickasaw,AL,36611,,201 N Craft HWY,,,Chickasaw,AL,36611,,(251)452-2256,State agency,5,2,743,33,,1,272,1056,
01,AL,0100189,Satsuma City,P O Box 939,,,Satsuma,AL,36572,,220 Baker Road,,,Satsuma,AL,36572,,(251)380-8200,State agency,43,11,148,11,34,2,1168,1417,
01,AL,0100190,Alabaster City,1953 Municipal Way Suite 200,,,Alabaster,AL,35007,,1953 Municipal Way Suite 200,,,Alabaster,AL,35007,,(205)663-8400,State agency,11,75,1175,1091,184,6,3572,6114,
01,AL,0100191,Evergreen School,U of A working on womanhood,,,Tuscaloosa,AL,35405,,U of A working on womanhood,,,Tuscaloosa,AL,35405,,(334)242-9700,State agency,,,,,,,,,
01,AL,0100192,Montgomery Public Schools (MPS) Classroom McInnis,3500 McInnis Rd.,,,Montgomery,AL,36116,,3500 McInnis Rd.,,,Montgomery,AL,36116,,(334)242-9700,State agency,,,,,,,,,
01,AL,0100193,St Mary's Home,4350 Moffett Rd,,,Mobile,AL,36618,,4350 Moffett Rd,,,Mobile,AL,36618,,(334)242-9700,State agency,,,,,,,,,
01,AL,0100194,Pelham City,3113 Cummings Street,,,Pelham,AL,35124,,3113 Cummings Street,,,Pelham,AL,35124,,(205)624-3700,State agency,11,95,443,910,83,,1639,3181,"$100,001"
01,AL,0100195,Pike Road,500 Avenue of Learning,,,Pike Road,AL,36064,,500 Avenue of Learning,,,Pike Road,AL,36064,,(334)420-4310,State agency,1,94,96,111,364,,744,1410,"$99,999"
01,AL,0100196,Gardendale,919 Sharit Avenue Suite 213,,,Gardendale,AL,35071,,Not Supplied,,,Gardendale,AL,11111,,(205)386-4440,State agency,,,,,,,,,
01,AL,0100197,Acceleration Day and Evening Acad,605 Bel Air Blvd Suite 400,,,Mobile,AL,36606,,3100 Cottage Hill Rd,,,Mobile,AL,36606,,(251)476-0002,Independent charter district,,,,,,,,,
01,AL,0100210,Auburn City,P O Box 3270,,,Auburn,AL,36831,,855 E Samford Ave,,,Auburn,AL,36830,,(334)887-2100,Regular public school district that is not a component of a supervisory union,6,903,2145,405,130,4,4950,8543,"$100,000"
01,AL,0100240,Autauga County,153 W 4th St,,,Prattville,AL,36067,,153 W 4th St,,,Prattville,AL,36067,,(334)365-5706,Regular public school district that is not a component of a supervisory union,26,233,2319,261,197,10,6261,9307,
01,AL,0100270,Baldwin County,2600-A N Hand Ave,,,Bay Minette,AL,36507,,2600-A North Hand Ave,,,Bay Minette,AL,36507,,(251)937-0308,Regular public school district that is not a component of a supervisory union,116,309,3941,2577,1352,23,22950,31268,
01,AL,0100300,Barbour County,P O Box 429,,,Clayton,AL,36016,,100 Court Square Courthouse,,,Clayton,AL,36016,,(334)775-3453,Regular public school district that is not a component of a supervisory union,3,,689,101,3,,51,847,
01,AL,0100330,Bessemer City,P O Box 1230,,,Bessemer,AL,35021,,1621 5th Ave N,,,Bessemer,AL,35020,,(205)432-3000,Regular public school district that is not a component of a supervisory union,5,1,3232,289,6,,72,3605,
01,AL,0100360,Bibb County,157 SW Davidson Dr,,,Centreville,AL,35042,,721 Walnut Street,,,Centreville,AL,35042,,(205)926-9881,Regular public school district that is not a component of a supervisory union,4,7,728,92,29,,2431,3291,
01,AL,0100390,Birmingham City,P O Box 10007,,,Birmingham,AL,35202,,2015 Park Place North,,,Birmingham,AL,35203,,(205)231-4220,Regular public school district that is not a component of a supervisory union,40,24,21955,1485,240,33,293,24070,
01,AL,0100420,Blount County,P O Box 578,,,Oneonta,AL,35121,,204 2nd Ave East,,,Oneonta,AL,35121,,(205)625-4102,Regular public school district that is not a component of a supervisory union,32,12,102,1155,41,2,6449,7793,
01,AL,0100450,Brewton City,811 Belleville Ave,,,Brewton,AL,36426,,811 Belleville Ave,,,Brewton,AL,36426,,(251)867-8400,Regular public school district that is not a component of a supervisory union,4,8,389,22,9,,681,1113,
01,AL,0100480,Bullock County,P O Box 231,,,Union Springs,AL,36089,,108 Hardaway Avenue,,,Union Springs,AL,36089,,(334)738-2860,Regular public school district that is not a component of a supervisory union,,3,1242,213,,,18,1476,
01,AL,0100510,Butler County,215 Administrative Dr,,,Greenville,AL,36037,,211 School Highlands Road,,,Greenville,AL,36037,,(334)382-2665,Regular public school district that is not a component of a supervisory union,7,19,1969,34,37,2,1063,3131,
01,AL,0100540,Calhoun County,P O Box 2084,,,Anniston,AL,36202,,4400 McClellan Blvd,,,Anniston,AL,36206,,(256)741-7400,Regular public school district that is not a component of a supervisory union,25,51,1269,370,66,17,7090,8888,
01,AL,0100600,Chambers County,Box 408D,,,Lafayette,AL,36862,,1298  AVC Drive,,,Lafayette,AL,36862,,(334)864-9343,Regular public school district that is not a component of a supervisory union,7,19,1741,84,35,1,1764,3651,
01,AL,0100630,Cherokee County,130 E Main St,,,Centre,AL,35960,,130 E Main St,,,Centre,AL,35960,,(256)927-3362,Regular public school district that is not a component of a supervisory union,258,13,204,51,33,6,3456,4021,
01,AL,0100660,Chilton County,1705 Lay Dam Rd,,,Clanton,AL,35045,,1705 Lay Dam Rd,,,Clanton,AL,35045,,(205)280-3000,Regular public school district that is not a component of a supervisory union,13,30,911,1122,160,3,5517,7756,
01,AL,0100690,Choctaw County,107 Tom Orr Dr,,,Butler,AL,36904,,107 Tom Orr Dr,,,Butler,AL,36904,,(205)459-3031,Regular public school district that is not a component of a supervisory union,2,,948,6,7,,454,1417,
01,AL,0100720,Clarke County,Box 936,,,Grove Hill,AL,36451,,155 W Cobb St,,,Grove Hill,AL,36451,,(251)275-3255,Regular public school district that is not a component of a supervisory union,8,14,1754,28,22,,865,2691,
01,AL,0100750,Clay County,P O Box 278,,,Ashland,AL,36251,,62 Court Square,,,Ashland,AL,36251,,(256)354-5414,Regular public school district that is not a component of a supervisory union,1,3,325,105,63,,1439,1936,
01,AL,0100780,Cleburne County,93 Education St,,,Heflin,AL,36264,,141 Davenport Drive,,,Heflin,AL,36264,,(256)463-5624,Regular public school district that is not a component of a supervisory union,6,1,139,84,33,2,2349,2614,
01,AL,0100810,Coffee County,400 Reddoch Hill Rd,,,Elba,AL,36323,,400 Reddoch Hill Rd,,,Elba,AL,36323,,(334)897-5016,Regular public school district that is not a component of a supervisory union,44,8,92,56,38,3,1907,2148,"$9,405"
01,AL,0100840,Colbert County,1101 Highway 72 E,,,Tuscumbia,AL,35674,,425 Highway 72 West,,,Tuscumbia,AL,35674,,(256)386-8565,Regular public school district that is not a component of a supervisory union,8,8,339,91,52,4,2117,2619,
01,AL,0100870,Conecuh County,100 Jackson St,,,Evergreen,AL,36401,,100 Jackson St,,,Evergreen,AL,36401,,(251)578-1752,Regular public school district that is not a component of a supervisory union,14,3,1300,34,10,3,494,1858,
01,AL,0100900,Coosa County,P O Box 37,,,Rockford,AL,35136,,73 Nixburg Road,,,Rockford,AL,35136,,(256)377-4913,Regular public school district that is not a component of a supervisory union,1,,424,43,21,1,490,980,
01,AL,0100930,Covington County,P O Box 460,,,Andalusia,AL,36420,,807 C. C. Baker Ave,,,Andalusia,AL,36421,,(334)222-7571,Regular public school district that is not a component of a supervisory union,10,24,191,38,41,1,2816,3121,
01,AL,0100960,Crenshaw County,183 Votec Drive,,,Luverne,AL,36049,,183 Votec Drive,,,Luverne,AL,36049,,(334)335-6519,Regular public school district that is not a component of a supervisory union,4,13,704,49,33,,1490,2293,
01,AL,0100990,Cullman City,301 1st St N E Suite 100,,,Cullman,AL,35055,,301 1st St N E,,,Cullman,AL,35055,,(256)734-2233,Regular public school district that is not a component of a supervisory union,11,47,24,246,71,15,2680,3094,
01,AL,0101020,Cullman County,P O Box 1590,,,Cullman,AL,35056,,402 Arnold St NE,,,Cullman,AL,35055,,(256)734-2933,Regular public school district that is not a component of a supervisory union,24,18,74,766,467,5,8248,9602,
01,AL,0101050,Dale County,P O Box 948,,,Ozark,AL,36361,,202 S Hwy 123 Suite E,,,Ozark,AL,36360,,(334)774-2355,Regular public school district that is not a component of a supervisory union,12,13,529,108,61,1,2411,3135,
01,AL,0101080,Daleville City,626 N Daleville Ave,,,Daleville,AL,36322,,626 N Daleville Ave,,,Daleville,AL,36322,,(334)598-2456,Regular public school district that is not a component of a supervisory union,8,8,317,146,46,6,496,1027,
01,AL,0101110,Dallas County,P O Box 1056,,,Selma,AL,36702,,429 Lauderdale St,,,Selma,AL,36701,,(334)876-4498,Regular public school district that is not a component of a supervisory union,,5,2402,13,15,1,709,3145,
01,AL,0101140,Dekalb County,P O Box 1668,,,Rainsville,AL,35986,,306 Main St W,,,Rainsville,AL,35986,,(256)638-6921,Regular public school district that is not a component of a supervisory union,1180,13,85,2692,42,,5011,9023,"$19,578"
01,AL,0101170,Decatur City,302 4th Ave NE,,,Decatur,AL,35601,,302 4th Ave NE,,,Decatur,AL,35601,,(256)552-3000,Regular public school district that is not a component of a supervisory union,29,101,2645,2256,326,10,3379,8746,
01,AL,0101200,Demopolis City,P O Drawer 759,,,Demopolis,AL,36732,,609 South Cedar Avenue,,,Demopolis,AL,36732,,(334)289-1670,Regular public school district that is not a component of a supervisory union,4,26,1153,91,17,2,1003,2296,
01,AL,0101230,Dothan City,500 Dusy St,,,Dothan,AL,36301,,500 Dusy Street,,,Dothan,AL,36301,,(334)794-1407,Regular public school district that is not a component of a supervisory union,18,135,5147,496,132,14,3271,9213,
01,AL,0101260,Elba City,131 Tiger Dr,,,Elba,AL,36323,,131 Tiger Dr,,,Elba,AL,36323,,(334)897-2801,Regular public school district that is not a component of a supervisory union,5,2,297,19,22,,268,613,
01,AL,0101290,Elmore County,100 H. H. Robison Drive,,,Wetumpka,AL,36092,,100 H. H. Robison Drive,,,Wetumpka,AL,36092,,(334)567-1200,Regular public school district that is not a component of a supervisory union,38,92,3081,461,314,7,7424,11417,
01,AL,0101320,Enterprise City,P O Box 311790,,,Enterprise,AL,36331,,220 Hutchinson St,,,Enterprise,AL,36330,,(334)347-9531,Regular public school district that is not a component of a supervisory union,56,136,1547,868,286,25,4134,7052,
01,AL,0101350,Escambia County,P O Box 307,,,Brewton,AL,36427,,301 Belleville Ave,,,Brewton,AL,36426,,(251)867-6251,Regular public school district that is not a component of a supervisory union,208,7,1829,86,85,1,2214,4430,"$4,332"
01,AL,0101380,Etowah County,3200 W Meighan Blvd,,,Gadsden,AL,35904,,3200 W Meighan Blvd,,,Gadsden,AL,35904,,(256)549-7578,Regular public school district that is not a component of a supervisory union,27,93,291,304,53,7,7989,8764,
01,AL,0101410,Eufaula City,420 Sanford Ave,,,Eufaula,AL,36027,,333 State Docks Road,,,Eufaula,AL,36027,,(334)687-1100,Regular public school district that is not a component of a supervisory union,8,36,1812,272,22,7,1792,3949,
01,AL,0101440,Fairfield City,6405 Ave D,,,Fairfield,AL,35064,,6405 Ave D,,,Fairfield,AL,35064,,(205)783-6850,Regular public school district that is not a component of a supervisory union,2,1,1695,32,3,,7,1740,
01,AL,0101470,Fayette County,P O Box 686,,,Fayette,AL,35555,,103 First Ave NW,,,Fayette,AL,35555,,(205)932-4611,Regular public school district that is not a component of a supervisory union,,10,336,35,56,1,1937,2375,
01,AL,0101530,Florence City,541 Riverview Dr,,,Florence,AL,35630,,102 S. Court Street,,,Florence,AL,35630,,(256)768-3016,Regular public school district that is not a component of a supervisory union,4,35,1467,426,364,1,2173,4470,
01,AL,0101560,Fort Payne City,P O Box 681029,,,Fort Payne,AL,35968,,205 45th St NE,,,Fort Payne,AL,35967,,(256)845-0915,Regular public school district that is not a component of a supervisory union,37,29,114,1223,70,1,1747,3221,
01,AL,0101590,Franklin County,P O Box 610,,,Russellville,AL,35653,,500 Coffee Ave NE,,,Russellville,AL,35653,,(256)332-1360,Regular public school district that is not a component of a supervisory union,17,9,47,493,33,1,3007,3607,
01,AL,0101620,Gadsden City,P O Box 184,,,Gadsden,AL,35902,,1026 Chestnut St,,,Gadsden,AL,35901,,(256)549-2903,Regular public school district that is not a component of a supervisory union,15,45,2432,670,69,2,1948,5181,
01,AL,0101640,Geneva City,511 Panther Dr,,,Geneva,AL,36340,,511 Panther Drive,,,Geneva,AL,36340,,(334)684-1090,Regular public school district that is not a component of a supervisory union,2,3,172,28,21,1,1042,1269,
01,AL,0101660,Geneva County,P O Box 250,,,Geneva,AL,36340,,200 N Commerce St.,,,Geneva,AL,36340,,(334)684-5690,Regular public school district that is not a component of a supervisory union,9,11,348,241,82,1,2083,2775,
01,AL,0101680,Greene County,220 Main St,,,Eutaw,AL,35462,,220 Main St,,,Eutaw,AL,35462,,(205)372-4900,Regular public school district that is not a component of a supervisory union,,10,1126,7,2,4,5,1154,
01,AL,0101690,Guntersville City,P O Box 129,,,Guntersville,AL,35976,,4200 Highway 79 South,,,Guntersville,AL,35976,,(256)582-3159,Regular public school district that is not a component of a supervisory union,7,25,172,150,100,8,1508,1970,
01,AL,0101710,Hale County,1115 Powers St,,,Greensboro,AL,36744,,1115 Powers St,,,Greensboro,AL,36744,,(334)624-8836,Regular public school district that is not a component of a supervisory union,,1,1778,42,14,,776,2611,
01,AL,0101720,Haleyville City,2011 20th St,,,Haleyville,AL,35565,,2011 20th St,,,Haleyville,AL,35565,,(205)486-9231,Regular public school district that is not a component of a supervisory union,5,18,27,146,35,1,1494,1726,
01,AL,0101730,Hartselle City,305 College St NE,,,Hartselle,AL,35640,,305 College St NE,,,Hartselle,AL,35640,,(256)773-5419,Regular public school district that is not a component of a supervisory union,21,32,133,106,74,3,2841,3210,
01,AL,0101740,Henry County,300 N. Trawick St,,,Abbeville,AL,36310,,300 N. Trawick Street,,,Abbeville,AL,36310,,(334)585-2206,Regular public school district that is not a component of a supervisory union,2,9,777,83,67,1,1550,2489,
01,AL,0101760,Homewood City,P O Box 59366,,,Homewood,AL,35259,,450 Dale Avenue,,,Homewood,AL,35209,,(205)870-4203,Regular public school district that is not a component of a supervisory union,4,101,787,523,100,1,2654,4170,
01,AL,0101770,Houston County,P O Box 1688,,,Dothan,AL,36302,,404 West Washington St.,,,Dothan,AL,36302,,(334)792-8331,Regular public school district that is not a component of a supervisory union,13,13,1001,314,111,7,4860,6319,
01,AL,0101800,Huntsville City,P O Box 1256,,,Huntsville,AL,35807,,200 White St,,,Huntsville,AL,35801,,(256)428-6810,Regular public school district that is not a component of a supervisory union,115,418,9658,2931,1395,79,9430,24026,"$16,267"
01,AL,0101830,Jackson County,P O Box 490,,,Scottsboro,AL,35768,,16003 Al Hwy 35,,,Scottsboro,AL,35768,,(256)259-9500,Regular public school district that is not a component of a supervisory union,698,10,167,249,68,6,4272,5470,"$24,397"
01,AL,0101860,Jacksonville City,123 College St SW,,,Jacksonville,AL,36265,,123 College St SW,,,Jacksonville,AL,36265,,(256)782-5682,Regular public school district that is not a component of a supervisory union,4,20,504,46,7,3,1006,1590,
01,AL,0101890,Jasper City,P O Box 500,,,Jasper,AL,35502,,110 W 17th St,,,Jasper,AL,35501,,(205)384-6880,Regular public school district that is not a component of a supervisory union,3,29,454,263,69,1,1903,2722,
01,AL,0101920,Jefferson County,2100 18th St S,,,Birmingham,AL,35209,,2100 18th Street S,,,Birmingham,AL,35209,,(205)379-2000,Regular public school district that is not a component of a supervisory union,62,202,17638,3095,120,27,15027,36171,
01,AL,0101950,Lamar County,P O Box 1379,,,Vernon,AL,35592,,150 Butler Cir,,,Vernon,AL,35592,,(205)695-7615,Regular public school district that is not a component of a supervisory union,,3,288,40,33,,2002,2366,
01,AL,0101980,Lanett City,105 N Lanier Ave,,,Lanett,AL,36863,,105 North Lanier Ave,,,Lanett,AL,36863,,(334)644-5900,Regular public school district that is not a component of a supervisory union,4,4,704,74,19,1,80,886,
01,AL,0102010,Lauderdale County,P O Box 278,,,Florence,AL,35631,,355 County Road 61,,,Florence,AL,35634,,(256)760-1300,Regular public school district that is not a component of a supervisory union,18,45,238,134,62,3,7909,8409,
01,AL,0102040,Lawrence County,14131 Market St,,,Moulton,AL,35650,,14131 Market St,,,Moulton,AL,35650,,(256)905-2400,Regular public school district that is not a component of a supervisory union,577,18,486,164,120,5,3464,4834,"$171,634"
01,AL,0102070,Lee County,100 S. 6th Street,,,Opelika,AL,36803,,2410 Society Hill Road,,,Opelika,AL,36804,,(334)745-9770,Regular public school district that is not a component of a supervisory union,44,41,2216,544,360,20,6428,9653,
01,AL,0102100,Limestone County,300 S Jefferson St,,,Athens,AL,35611,,300 S Jefferson St,,,Athens,AL,35611,,(256)232-5353,Regular public school district that is not a component of a supervisory union,52,54,752,943,168,5,7235,9209,
01,AL,0102130,Linden City,P O Box 480609,,,Linden,AL,36748,,209 N Main St,,,Linden,AL,36748,,(334)295-8802,Regular public school district that is not a component of a supervisory union,,,471,7,1,,15,494,
